会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
K008_001a,736,I,IC01_深石,寝室,シンシツ,寝室,名詞-普通名詞-一般,,,漢,,シンシツ,寝室,シンシツ,シンシツ,242.823,245.313,242.823,245.313,0,B
K008_001a,737,I,IC01_深石,が,ガ,が,助詞-格助詞,,,和,,ガ,が,ガ,ガ,242.823,245.313,242.823,245.313,0,I
K008_001a,738,I,IC01_深石,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,242.823,245.313,242.823,245.313,0,B
K008_001a,739,I,IC01_深石,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です,デス,デス,242.823,245.313,242.823,245.313,0,I
K008_001a,740,I,IC01_深石,か,カ,か,助詞-終助詞,,,和,,カ,か?。,カ,カ,242.823,245.313,242.823,245.313,0,I
K008_001a,741,B,IC03_久美,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,245.135,245.787,245.135,245.787,0,B
K008_001a,742,I,IC03_久美,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,,デス,です。,デス,デス,245.135,245.787,245.135,245.787,0,I
K008_001a,743,B,IC03_久美,はい,ハイ,はい,感動詞-一般,,,和,,ハイ,はい。,ハイ,ハイ,245.787,246.091,245.787,246.091,0,B
K008_001a,744,B,IC01_深石,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね:。,ネ,ネー,245.937,246.742,245.937,246.742,0,B
K008_001a,745,B,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ ,ア,ア,246.091,246.430,246.091,246.430,0,B
K008_001a,746,I,IC03_久美,あ,アッ,あっ,感動詞-一般,,,和,,ア,あ。,ア,ア,246.091,246.430,246.091,246.430,0,B
K008_001a,747,B,IC03_久美,ま,マア,まあ,副詞,,,和,,マ,(G まあ|ま) ,マ,マ,246.430,247.554,246.430,247.554,0,B
K008_001a,748,I,IC03_久美,居間,イマ,居間,名詞-普通名詞-一般,,,和,,イマ,居間,イマ,イマ,246.430,247.554,246.430,247.554,0,B
K008_001a,749,I,IC03_久美,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,246.430,247.554,246.430,247.554,0,I
K008_001a,750,I,IC03_久美,二階,ニカイ,二階,名詞-数詞,,,漢,,ニカイ,二階,ニカイ,ニカイ,246.430,247.554,246.430,247.554,0,B
K008_001a,751,I,IC03_久美,で,デ,で,助詞-格助詞,,,和,,デ,で。,デ,デ,246.430,247.554,246.430,247.554,0,I
K008_001a,752,B,IC03_久美,だから,ダカラ,だから,接続詞,,,和,,ダカラ,だから,ダカラ,ダカラ,247.554,252.578,247.554,250.29,0,B
K008_001a,753,I,IC03_久美,一階,イッカイ,一階,名詞-数詞,,,漢,,イッカイ,一階,イッカイ,イッカイ,247.554,252.578,247.554,250.29,0,B
K008_001a,754,I,IC03_久美,は,ハ,は,助詞-係助詞,,,和,,ハ,は,ワ,ワ,247.554,252.578,247.554,250.29,0,I
K008_001a,755,I,IC03_久美,台所,ダイドコロ,台所,名詞-普通名詞-一般,,,混,,ダイドコロ,台所,ダイドコロ,ダイドコロ,247.554,252.578,247.554,250.29,0,B
K008_001a,756,I,IC03_久美,と,ト,と,助詞-格助詞,,,和,,ト,と ,ト,ト,247.554,252.578,247.554,250.29,0,I
K008_001a,757,I,IC03_久美,お風呂場,オフロバ,御風呂場,名詞-普通名詞-一般,,,和,,オフロバ,お風呂場,オフロバ,オフロバ,247.554,252.578,247.554,250.29,0,B
K008_001a,758,I,IC03_久美,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,247.554,252.578,247.554,250.29,0,I
K008_001a,759,I,IC03_久美,か,カ,か,助詞-副助詞,,,和,,カ,か ,カ,カ,247.554,252.578,247.554,250.29,0,I
K008_001a,760,I,IC03_久美,あと,アト,後,名詞-普通名詞-一般,,,和,,アト,あと,アト,アト,247.554,252.578,247.554,250.29,0,B
K008_001a,761,I,IC03_久美,姑,シュウトメ,姑,名詞-普通名詞-一般,,,和,,シュウトメ,姑,シュートメ,シュートメ,247.554,252.578,250.92,251.879,0,B
K008_001a,762,I,IC03_久美,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,247.554,252.578,250.92,251.879,0,I
K008_001a,763,I,IC03_久美,部屋,ヘヤ,部屋,名詞-普通名詞-一般,,,和,,ヘヤ,部屋:,ヘヤ,ヘヤー,247.554,252.578,250.92,251.879,0,B
K008_001a,764,I,IC03_久美,が,ガ,が,助詞-格助詞,,,和,,ガ,が ,ガ,ガ,247.554,252.578,251.998,252.578,0,I
K008_001a,765,I,IC03_久美,ある,アル,有る,動詞-一般,五段-ラ行,終止形-一般,和,,アル,ある,アル,アル,247.554,252.578,251.998,252.578,0,B
K008_001a,766,I,IC03_久美,けど,ケレド,けれど,助詞-接続助詞,,,和,,ケド,けど。,ケド,ケド,247.554,252.578,251.998,252.578,0,I
K008_001a,767,B,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん ,ウン,ウン,249.115,249.646,249.115,249.646,0,B
K008_001a,768,I,IC01_深石,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,249.115,249.646,249.115,249.646,0,B
